Part Number,Inductance (µH),DCR max (m?),Isat (A),Irms (A),Max Temp (°C),Voltage Rating (V),Length (mm),Width (mm),Height (mm),Mounting,AEC Grade,Price ($)
SER8050-451,0.45,3.5,31.12,11.72,125,,8.8,8.5,5,SM,,$0.94
SER8050-501,0.5,2.5,22.68,13.52,125,,8.8,8.5,5,SM,,$0.94
SER8050-811,0.8,5.88,25.2,9.43,125,,8.8,8.5,5,SM,,$0.94
SER8050-112,1.1,3.5,14.5,11.97,125,,8.8,8.5,5,SM,,$0.94
SER8050-202,2,5.88,9.78,10.79,125,,8.8,8.5,5,SM,,$0.94
SER8052-122,1.2,7.2,19.18,8.11,125,,8.8,8.5,5.2,SM,,$0.94
SER8052-182,1.8,9.5,14.88,7.94,125,,8.8,8.5,5.2,SM,,$0.94
SER8052-242,2.4,9.5,11.8,7.58,125,,8.8,8.5,5.2,SM,,$0.94
SER8052-312,3.1,7.2,8,8.71,125,,8.8,8.5,5.2,SM,,$0.94
SER8052-332,3.2,14.33,10.24,6.25,125,,8.8,8.5,5.2,SM,,$0.94
SER8052-402,4,14.33,8.24,6.3,125,,8.8,8.5,5.2,SM,,$0.94
SER8052-452,4.5,9.5,6.14,7.68,125,,8.8,8.5,5.2,SM,,$0.94
SER8052-612,6.1,9.5,4.58,7.31,125,,8.8,8.5,5.2,SM,,$0.94
SER8052-802,8,14.33,3.86,6.31,125,,8.8,8.5,5.2,SM,,$0.94
SER8052-103,10,14.33,3.1,6.32,125,,8.8,8.5,5.2,SM,,$0.94
SER1052-801,0.8,4,25.6,16.3,125,,11.2,10.4,5.2,SM,3,$1.32
SER1052-102,1,4,17.5,16.3,125,,11.2,10.4,5.2,SM,3,$1.32
SER1052-122,1.2,6,21.3,15,125,,11.2,10.4,5.2,SM,3,$1.32
SER1052-132,1.3,4,17.2,16.3,125,,11.2,10.4,5.2,SM,3,$1.32
SER1052-152,1.5,4,14.5,15,125,,11.2,10.4,5.2,SM,3,$1.32
SER1052-182,1.8,6,14.3,15,125,,11.2,10.4,5.2,SM,3,$1.32
SER1052-202,2,9,16.2,11.5,125,,11.2,10.4,5.2,SM,3,$1.32
SER1052-222,2.2,4,10,16.3,125,,11.2,10.4,5.2,SM,3,$1.32
SER1052-252,2.5,7.5,12.1,12,125,,11.2,10.4,5.2,SM,3,$1.32
SER1052-322,3.2,6,8.5,15,125,,11.2,10.4,5.2,SM,3,$1.32
SER1052-402,4,9,8.8,11.5,125,,11.2,10.4,5.2,SM,3,$1.32
SER1052-432,4.3,7.5,7,12,125,,11.2,10.4,5.2,SM,3,$1.32
SER1052-572,5.7,9,6,11.5,125,,11.2,10.4,5.2,SM,3,$1.32
SER1360-331,0.33,0.85,43,16.9,125,,13,12.9,5.8,SM,3,$0.85
SER1360-651,0.65,0.85,28,16.9,125,,13,12.9,5.8,SM,3,$0.85
SER1360-102,1,2.6,33.5,13,125,,13,12.9,5.8,SM,3,$0.85
SER1360-182,1.8,2.6,20,13,125,,13,12.9,5.8,SM,3,$0.85
SER1360-272,2.7,2.6,14,13,125,,13,12.9,5.8,SM,3,$0.85
SER1360-402,4,6.05,13,9.4,125,,13,12.9,5.8,SM,3,$0.85
SER1360-472,4.7,6.05,12,9.4,125,,13,12.9,5.8,SM,3,$0.85
SER1360-602,6,6.05,9.5,9.4,125,,13,12.9,5.8,SM,3,$0.85
SER1360-802,8,10.81,9,7.6,125,,13,12.9,5.8,SM,3,$0.85
SER1360-103,10,10.81,7.5,7.2,125,,13,12.9,5.8,SM,3,$0.85
SER1390-103,10,15,13.16,9.2,125,,13,12.9,9,SM,3,$1.59
SER1390-153,15,15,8.6,9.2,125,,13,12.9,9,SM,3,$1.59
SER1390-223,22,23.1,7.36,7.7,125,,13,12.9,9,SM,3,$1.59
SER1390-333,33,23.1,4.76,7.7,125,,13,12.9,9,SM,3,$1.59
SER1390-473,47,23.1,3.2,7.7,125,,13,12.9,9,SM,3,$1.59
SER1408-301,0.3,0.55,53,42,165,,15.24,12,8.26,SM,1,$2.49
SER1408-501,0.5,0.55,31.4,42,165,,15.24,12,8.26,SM,1,$2.49
SER1408-681,0.68,0.55,23.2,42,165,,15.24,12,8.26,SM,1,$2.49
SER1408-102,1,0.55,16.1,42,165,,15.24,12,8.26,SM,1,$2.49
SER1410-152,1.5,0.99,20.3,39,165,,15.24,12,10.56,SM,1,$1.94
SER1410-202,2,0.99,15,39,165,,15.24,12,10.56,SM,1,$1.94
SER1412-301,0.3,1.43,105.9,37,165,,15.24,12,12.66,SM,1,$2.24
SER1412-501,0.5,1.43,62.5,37,165,,15.24,12,12.66,SM,1,$2.24
SER1412-681,0.68,1.43,45.8,37,165,,15.24,12,12.66,SM,1,$2.24
SER1412-102,1,1.43,32.2,37,165,,15.24,12,12.66,SM,1,$2.24
SER1412-152,1.5,1.43,24.6,37,165,,15.24,12,12.66,SM,1,$2.24
SER1412-202,2,1.43,19.4,37,165,,15.24,12,12.66,SM,1,$2.24
SER1412-362,3.6,1.43,12.1,37,165,,15.24,12,12.66,SM,1,$2.24
SER1512-472,4.7,3.1,20.1,18.1,125,,15.4,15.2,12,SM,,$1.21
SER1512-103,10,3.7,11.3,15.7,125,,15.4,15.2,12,SM,,$1.21
SER1512-223,22,8.4,8,11.8,125,,15.4,15.2,12,SM,,$1.21
SER1590-301,0.3,0.72,57,32,125,,16.26,15.75,10.16,SM,3,$1.28
SER1590-501,0.5,0.94,44,27,125,,16.26,15.75,10.16,SM,3,$1.28
SER1590-601,0.6,0.94,36,27,125,,16.26,15.75,10.16,SM,3,$1.28
SER1590-681,0.68,0.94,33,27,125,,16.26,15.75,10.16,SM,3,$1.28
SER1590-801,0.8,0.94,27,27,125,,16.26,15.75,10.16,SM,3,$1.28
SER1590-901,0.9,1.15,29,22,125,,16.26,15.75,10.16,SM,3,$1.28
SER1590-102,1,0.94,23,27,125,,16.26,15.75,10.16,SM,3,$1.28
SER1590-122,1.2,1.15,23,22,125,,16.26,15.75,10.16,SM,3,$1.28
SER1590-152,1.5,1.15,19,22,125,,16.26,15.75,10.16,SM,3,$1.28
SER2009-301,0.3,0.74,100,54,125,,19.69,19.56,8.64,SM,3,$1.52
SER2009-501,0.5,0.74,60,54,125,,19.69,19.56,8.64,SM,3,$1.52
SER2009-601,0.6,0.74,49,54,125,,19.69,19.56,8.64,SM,3,$1.52
SER2009-681,0.68,0.74,45,54,125,,19.69,19.56,8.64,SM,3,$1.52
SER2009-801,0.8,0.74,38,54,125,,19.69,19.56,8.64,SM,3,$1.52
SER2009-901,0.9,0.74,33,54,125,,19.69,19.56,8.64,SM,3,$1.52
SER2009-102,1,0.74,29,54,125,,19.69,19.56,8.64,SM,3,$1.52
SER2009-122,1.2,0.74,28,54,125,,19.69,19.56,8.64,SM,3,$1.52
SER2009-202,2,0.74,16,54,125,,19.69,19.56,8.64,SM,3,$1.52
SER2010-301,0.3,1,100,45,125,,19.69,19.56,9.4,SM,3,$1.51
SER2010-501,0.5,1,81,45,125,,19.69,19.56,9.4,SM,3,$1.51
SER2010-601,0.6,1,70,45,125,,19.69,19.56,9.4,SM,3,$1.51
SER2010-681,0.68,1,62,45,125,,19.69,19.56,9.4,SM,3,$1.51
SER2010-801,0.8,1,53,45,125,,19.69,19.56,9.4,SM,3,$1.51
SER2010-901,0.9,1,48,45,125,,19.69,19.56,9.4,SM,3,$1.51
SER2010-102,1,1,42,45,125,,19.69,19.56,9.4,SM,3,$1.51
SER2010-122,1.2,1,37,45,125,,19.69,19.56,9.4,SM,3,$1.51
SER2010-202,2,1,27,45,125,,19.69,19.56,9.4,SM,3,$1.51
SER2011-501,0.5,1.34,100,40,125,,19.69,19.56,10.67,SM,3,$1.33
SER2011-601,0.6,1.34,90,40,125,,19.69,19.56,10.67,SM,3,$1.33
SER2011-681,0.68,1.34,78,40,125,,19.69,19.56,10.67,SM,3,$1.33
SER2011-801,0.8,1.34,70,40,125,,19.69,19.56,10.67,SM,3,$1.33
SER2011-901,0.9,1.34,62,40,125,,19.69,19.56,10.67,SM,3,$1.33
SER2011-102,1,1.34,56,40,125,,19.69,19.55,10.67,SM,3,$1.33
SER2011-122,1.2,1.34,49,40,125,,19.69,19.56,10.67,SM,3,$1.33
SER2011-202,2,1.34,37,40,125,,19.69,19.56,10.67,SM,3,$1.33
SER2012-601,0.6,1.6,97,35,125,,19.69,19.56,11.94,SM,3,$1.39
SER2012-681,0.68,1.6,85,35,125,,19.69,19.56,11.94,SM,3,$1.39
SER2012-801,0.8,1.6,75,35,125,,19.69,19.56,11.94,SM,3,$1.39
SER2012-901,0.9,1.6,69,35,125,,19.69,19.56,11.94,SM,3,$1.39
SER2012-102,1,1.6,64,35,125,,19.69,19.56,11.94,SM,3,$1.39
SER2012-122,1.2,1.6,54,35,125,,19.69,19.56,11.94,SM,3,$1.39
SER2012-202,2,1.6,35,35,125,,19.69,19.56,11.94,SM,3,$1.39
SER2013-681,0.68,1.82,98,30,125,,19.69,19.56,12.95,SM,3,$1.84
SER2013-801,0.8,1.82,85,30,125,,19.69,19.56,12.95,SM,3,$1.84
SER2013-901,0.9,1.82,73,30,125,,19.69,19.56,12.95,SM,3,$1.84
SER2013-102,1,1.82,68,30,125,,19.69,19.56,12.95,SM,3,$1.84
SER2013-122,1.2,1.82,58,30,125,,19.69,19.56,12.95,SM,3,$1.84
SER2013-202,2,1.82,40,30,125,,19.69,19.56,12.95,SM,3,$1.84
SER2013-362,3.6,1.82,25,30,125,,19.69,19.56,12.95,SM,3,$1.84
SER2013-402,4,1.82,20,30,125,,19.69,19.56,12.95,SM,3,$1.84
SER2013-472,4.7,1.82,18,30,125,,19.69,19.56,12.95,SM,3,$1.84
SER2014-801,0.8,2.15,98,27,125,,19.69,19.56,13.97,SM,3,$1.49
SER2014-901,0.9,2.15,87,27,125,,19.69,19.56,13.97,SM,3,$1.49
SER2014-102,1,2.15,70,27,125,,19.69,19.56,13.97,SM,3,$1.49
SER2014-122,1.2,2.15,63,27,125,,19.69,19.56,13.97,SM,3,$1.49
SER2014-202,2,2.15,45,27,125,,19.69,19.56,13.97,SM,3,$1.49
SER2014-402,4,2.15,25,27,125,,19.69,19.56,13.97,SM,3,$1.49
SER2211-302,3,1.2,27.5,35,125,,22.5,19.2,10.5,SM,,$2.97
SER2211-532,5.3,1.8,19,26,125,,22.5,19.2,10.5,SM,,$2.97
SER2211-822,8.2,2.76,15.8,18.5,125,,22.5,19.2,10.5,SM,,$2.97
SER2211-123,12,3.78,13,16,125,,22.5,19.2,10.5,SM,,$2.97
SER2211-273,27,8.21,8.9,13.1,125,,22.5,19.2,10.5,SM,,$2.97
SER2211-333,33,10.7,8.3,10.6,125,,22.5,19.2,10.5,SM,,$2.97
SER2211-473,47,10.7,5.6,10.6,125,,22.5,19.2,10.5,SM,,$2.97
SER2915L-152,1.5,1.65,100,30,125,,27.94,27.9,15.36,SM,3,$2.15
SER2915L-222,2.2,1.65,84.8,30,125,,27.94,27.9,15.36,SM,3,$2.15
SER2915H-222,2.2,2.05,100,30,125,,27.94,27.9,15.36,SM,3,$2.22
SER2915L-332,3.3,1.65,57,30,125,,27.94,27.9,15.36,SM,3,$2.15
SER2915H-332,3.3,2.05,68.4,30,125,,27.94,27.9,15.36,SM,3,$2.22
SER2915L-472,4.7,1.65,39,30,125,,27.94,27.9,15.36,SM,3,$2.15
SER2915H-472,4.7,2.05,50.1,30,125,,27.94,27.9,15.36,SM,3,$2.22
SER2915H-682,6.8,2.05,36.2,30,125,,27.94,27.9,15.36,SM,3,$2.22
SER2915L-682,6.8,1.65,27.8,30,125,,27.94,27.9,15.36,SM,3,$2.15
SER2915H-103,10,2.05,23.4,30,125,,27.94,27.9,15.36,SM,3,$2.22
SER2915L-103,10,1.65,17.6,30,125,,27.94,27.9,15.36,SM,3,$2.15
SER2915H-153,15,2.05,15.2,30,125,,27.94,27.9,15.36,SM,3,$2.22
SER2915L-153,15,1.65,11,30,125,,27.94,27.9,15.36,SM,3,$2.15
SER2915H-223,22,2.05,9.6,30,125,,27.94,27.9,15.36,SM,3,$2.22
SER2915L-223,22,1.65,6.8,30,125,,27.94,27.9,15.36,SM,3,$2.15
SER2915H-333,33,2.05,5.9,30,125,,27.94,27.9,15.36,SM,3,$2.22
SER2915L-333,33,1.65,3.3,30,125,,27.94,27.9,15.36,SM,3,$2.15
D1787,33,2.8,,23,125,,27.94,27.9,16.6,SM,,$2.55
SER2918H-332,3.3,2.86,93.6,28,125,,27.94,27.9,17.78,SM,3,$3.02
SER3018H-332,3.3,2.82,93.6,28,125,,27.94,27.94,17.78,SM,,$2.71
SER2918H-472,4.7,2.86,62.4,28,125,,27.94,27.9,17.78,SM,3,$3.02
SER3018H-472,4.7,2.82,62.4,28,125,,27.94,27.94,17.78,SM,,$2.71
SER3018H-682,6.8,2.82,45.9,28,125,,27.94,27.94,17.78,SM,,$2.71
SER2918H-682,6.8,2.86,45.9,28,125,,27.94,27.9,17.78,SM,3,$3.02
SER2918H-103,10,2.86,32.1,28,125,,27.94,27.9,17.78,SM,3,$3.02
SER3018H-103,10,2.82,32.1,28,125,,27.94,27.94,17.78,SM,,$2.71
SER3018H-153,15,2.82,21.9,28,125,,27.94,27.94,17.78,SM,,$2.71
SER2918H-153,15,2.86,21.9,28,125,,27.94,27.9,17.78,SM,3,$3.02
SER2918H-223,22,2.86,15,28,125,,27.94,27.9,17.78,SM,3,$3.02
SER3018H-223,22,2.82,15,28,125,,27.94,27.94,17.78,SM,,$2.71
SER2918H-333,33,2.86,9.6,28,125,,27.94,27.9,17.78,SM,3,$3.02
SER3018H-333,33,2.82,9.6,28,125,,27.94,27.94,17.78,SM,,$2.71
